1147,Plymouth,Plymouth High School,1 Big Red Dr,Plymouth,46563,46563-1854
1143,Clay,Clay High School,19131 Darden Rd,South Bend,46637,46637-3999
1119,New Palestine,New Palestine High School  ,"4485 S. Victory Dr., P.O. Box 448",New Palestine,46163,46163
1117,Highland,Highland High School,9135 Erie St,Highland,46322,46322-2797
1111,Connersville Sr,Connersville Sr High School  ,3424 C.R. 427,Waterloo,46793,46793-9402
1093,Jasper,Jasper High School,1600 St Charles St,Jasper,47546,47546-9211
1083,Kankakee Valley,Kankakee Valley High School,3923 W SR 10,Wheatfield,46392,46392-9254
1075,Bishop Dwenger,Bishop Dwenger High School,1300 E Washington Center Rd,Fort Wayne,46825,46825-4556
1060,Jay County,Jay County High School,2072 W SR 67,Portland,47371,47371-9802
1056,Columbia City,Columbia City High School,600 N Whitley St,Columbia City,46725,46725-1799
1053,Marion,Marion High School,750 W 26th St,Marion,46953,46953-2929
1046,Gary West,Gary West Side Leadership Academy ,900 Gerry St.,Gary,46406,46406
1024,Northview,Northview High School,3150 W SR 340,Brazil,47834,47834-2228
1023,New Castle,New Castle High School,801 Parkview Dr,New Castle,47362,47362-2954
996,New Haven,New Haven Primary School,1445 Berwick Ln,New Haven,46774,46774-2050
993,New Prairie,New Prairie High School,5333 N Cougar Rd,New Carlisle,46552,46552-9505
976,Lebanon Senior,Lebanon Senior High School,510 Essex Dr,Lebanon,46052,46052-1589
966,Madison Consolidated,Madison Consolidated High School,743 Clifty Dr,Madison,47250,47250-1676
949,Beech Grove,Beech Grove Sr High School,5330 Hornet Ave,Beech Grove,46107,46107-2399
945,Wawasee,Wawasee High School,1 Warrior Path - Bldg 1,Syracuse,46567,46567-9132
909,Silver Creek,Silver Creek High School,557 Renz Ave,Sellersburg,47172,47172-1399
906,Washington,Washington High School,608 E Walnut St,Washington,47501,47501-2898
904,Hammond Gavit,Hammond Gavit Mdl/High School  ,1670 175th St.,Hammond,46324,46324
903,Boonville,Boonville High School,300 N 1st St,Boonville,47601,47601-3014
896,Saint Joseph,Saint Joseph Central School,6341 St Joe Ctr Rd,Fort Wayne,46835,46835-3802
883,Northwood,Northwood High School   ,2101 N. Main St.,Nappanee,46550,46550
876,Angola,Angola High School,350 S John McBride Ave,Angola,46703,46703-1991
872,Leo,Leo Junior/Senior High School,14600 Amstutz Rd,Leo,46765,46765-9606
871,Delta,Delta High School,3400 E SR 28,Muncie,47303,47303-9801
868,South Dearborn,South Dearborn Middle School,5850 Squire Pl,Aurora,47001,47001-0000
861,Frankfort Senior,Frankfort Senior High School,1 S Maish Rd,Frankfort,46041,46041-2825
855,Western,Western High School,2600 S 600 W,Russiaville,46979,46979-0247
845,Mississinewa,Mississinewa High School,1 Indian Trl,Gas City,46933,46933-1199
836,Franklin County,Franklin County High,1 Wildcat Ln,Brookville,47012,47012-9414
827,Herron,Herron High School,110 E 16th St,Indianapolis,46202,46202-0000
813,Owen Valley,Owen Valley Middle School,626 W St Hwy 46,Spencer,47460,47460-9556
812,Culver Academies,Culver Academies    ,1300 Academy Rd. #147,Culver,46511,46511-1291
811,Edgewood,Edgewood High School,601 S Edgewood Dr,Ellettsville,47429,47429-0374
810,Hammond,Hammond High School,5926 Calumet Ave,Hammond,46320,46320-2587
802,Evansville Bosse,Evansville Bosse High School  ,1300 Washington Ave.,Evansville,47714,47714
801,Yorktown,Yorktown High School,1100 S Tiger Dr,Yorktown,47396,47396-1399
800,Griffith Senior,Griffith Senior High School,600 N Wiggs St,Griffith,46319,46319-2095
794,Scottsburg Senior,Scottsburg Senior High School,500 S Gardner,Scottsburg,47170,47170-1098
794,Brebeuf Jesuit,Brebeuf Jesuit Preparatory School,2801 W 86th St,Indianapolis,46268,46268-1925
791,Danville Community,Danville Community High School,100 Warrior Way,Danville,46122,46122-1599
781,Concordia Lutheran,Concordia Lutheran High School,1601 St Joe River Dr,Fort Wayne,46805,46805-1488
773,Twin Lakes,Twin Lakes Senior High School ,300 S. Third St.,Monticello,47960,47960
769,Norwell,Norwell High School   ,1100 E. US Highway 224,Ossian,46777,46777
760,Hammond Clark,Hammond Clark Mdl/High   ,1921 Davis Ave.,Whiting,46394,46394
758,Guerin Catholic,Guerin Catholic High School,15300 N Gray Rd,Noblesville,46062,46062-0000
750,Greensburg Community,Greensburg Community High School,1000 E Central Ave,Greensburg,47240,47240-2298
